EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;CASETA EL TRAILER;CALLE 3 A N?  18-28 LA PRADERA;CASTRA01;;;28/02/2011;3;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;CASETA EL TRAILER;CALLE 3 A N?  18-28 LA PRADERA;CASTRA01;;;07/03/2011;3;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;630;DROGUERIA REINEL;CL 103 #35 03;DROREI01;;;28/02/2011;4;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;630;DROGUERIA REINEL;CL 103 #35 03;DROREI01;;;07/03/2011;4;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;;;28/02/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;;;07/03/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA DOÐA INES;KRA. 35  N? 100-65;MISINE01;;;28/02/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA DOÐA INES;KRA. 35  N? 100-65;MISINE01;;;07/03/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;;;21/02/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;;;28/02/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;;;07/03/2011;5;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;560;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;560;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;RAPITIENDA EL CRUCERITO;CRA 5 N?  12-02;RAPCRU01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;RAPITIENDA EL CRUCERITO;CRA 5 N?  12-02;RAPCRU01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;860;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;860;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;890;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;;;14/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;890;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;890;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;VARIEDADES CHIPI CHAPE;CRA.  5   N? 5-50 VILLAMARIA;VARCHI01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
JUAN CARLOS RENDON;ZC004;ZONA COBRO 4;0;VARIEDADES CHIPI CHAPE;CRA.  5   N? 5-50 VILLAMARIA;VARCHI01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;280;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;280;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;590;DROG.DROGAS SUPERSERVICIO;CR 12  # 47 L 03 CARIBE;DRODRO01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;590;DROG.DROGAS SUPERSERVICIO;CR 12  # 47 L 03 CARIBE;DRODRO01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;DROGUERIA LA ESTACION;CRA 23 # 40 -110;DROEST01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;DROGUERIA LA ESTACION;CRA 23 # 40 -110;DROEST01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;DUQUE H.ROGELIO DRO.PERALONSO;CAR 11C 46 18  DROPERALONSO;DROPER02;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;OROZCO GUILLERMO COMUNICACION VO-IP;CALLE 10  N? 1 C 100 VILLAPIL;OROGUI01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;OROZCO GUILLERMO COMUNICACION VO-IP;CALLE 10  N? 1 C 100 VILLAPIL;OROGUI01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;ORTEGON GUILLERMO FRUTAS FRESCAS;CALLE 15  N?  15 - 16;FRUMON01;;;21/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;ORTEGON GUILLERMO FRUTAS FRESCAS;CALLE 15  N?  15 - 16;FRUMON01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;ORTEGON GUILLERMO FRUTAS FRESCAS;CALLE 15  N?  15 - 16;FRUMON01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;580;SU DROGUERIA N? 3;CL 47G N? 12B 01 CARIBE;SUDROG03;;;21/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;580;SU DROGUERIA N? 3;CL 47G N? 12B 01 CARIBE;SUDROG03;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;580;SU DROGUERIA N? 3;CL 47G N? 12B 01 CARIBE;SUDROG03;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;440;SUDROGUERIA;CRA. 20 # 50-74;SUDROG01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;440;SUDROGUERIA;CRA. 20 # 50-74;SUDROG01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;160;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;160;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;TIENDA MIXTA LA 15;CRA   26  # 15 - 02;TIEMIQ01;;;21/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;TIENDA MIXTA LA 15;CRA   26  # 15 - 02;TIEMIQ01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;TIENDA MIXTA LA 15;CRA   26  # 15 - 02;TIEMIQ01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;TRUJILLO  ARANGO JOSE J.MISC ANGIE;CRA. 22 # 48 B 60  ESQUINA;JOSJES01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
PATRICIA JURADO MARTINEZ;ZC002;ZONA COBRO 2;0;TRUJILLO  ARANGO JOSE J.MISC ANGIE;CRA. 22 # 48 B 60  ESQUINA;JOSJES01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;ALARCON GAVIRIA W.JOSE T.CHIQUITINA;CALLE 48 N? 25-14 T.CHIQUITINA;TIECHI01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;ALARCON GAVIRIA W.JOSE T.CHIQUITINA;CALLE 48 N? 25-14 T.CHIQUITINA;TIECHI01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;DROGUERIA SANTA INES  # 3;AVENIDA PARALELA N? 47 - 10;DROSAN06;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;DROGUERIA SANTA INES  # 3;AVENIDA PARALELA N? 47 - 10;DROSAN06;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;360;FRUTAS Y VERDURAS;CR 23 # 45 62;FRUVER01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;360;FRUTAS Y VERDURAS;CR 23 # 45 62;FRUVER01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;GALLEGO  BLANCA NUBIA;CLL 39  - 24-76  DULCES;BLAMAR01;;;21/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;GALLEGO  BLANCA NUBIA;CLL 39  - 24-76  DULCES;BLAMAR01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;GALLEGO  BLANCA NUBIA;CLL 39  - 24-76  DULCES;BLAMAR01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;320;LA CASA DEL PAN;CRA. 24 # 39-26;CASPAN01;;;21/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;320;LA CASA DEL PAN;CRA. 24 # 39-26;CASPAN01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;320;LA CASA DEL PAN;CRA. 24 # 39-26;CASPAN01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;280;MISCELANEA LA COMPLETA;CL 38 N? 32A 38 VILLACARMENZA;MISCOM01;;;28/02/2011;3;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;280;MISCELANEA LA COMPLETA;CL 38 N? 32A 38 VILLACARMENZA;MISCOM01;;;07/03/2011;3;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;PANADERIA ALEXA;CRA. 34 # 48H-13;PANALE01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;PANADERIA ALEXA;CRA. 34 # 48H-13;PANALE01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;PANADERIA POPEYE;CRA. 15  CALLE 4 A ESQUINA;PANAPO01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;PANADERIA POPEYE;CRA. 15  CALLE 4 A ESQUINA;PANAPO01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;RAPITIENDA MISCELANEA LA RECTA;CALLE 12 # 30-50;RAPEXI01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;RAPITIENDA MISCELANEA LA RECTA;CALLE 12 # 30-50;RAPEXI01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;REINALDO LLANO ESCOBAR DROG. SANTAN;CRA. 25 # 33 A 02  DROG.SANTAN;DROSAN02;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;REINALDO LLANO ESCOBAR DROG. SANTAN;CRA. 25 # 33 A 02  DROG.SANTAN;DROSAN02;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;SERGIO GIRALDO TIENDA LA PLAYITA;CRA 27 # 33- 03;TIEPLA01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;SERGIO GIRALDO TIENDA LA PLAYITA;CRA 27 # 33- 03;TIEPLA01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;TIENDA LA CANASTA;CALLE 29  N? 27 - 61;TILACA01;;;28/02/2011;4;;;1200;;NUE;NUEVO ESTADIO
SANDOCAN MORALES BUITRAGO;ZC001;ZONA COBRO 1;0;TIENDA LA CANASTA;CALLE 29  N? 27 - 61;TILACA01;;;07/03/2011;4;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1030;ABUNDANCIA LA ESPERANZA;CL 72A #19 99;ABUESP01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1030;ABUNDANCIA LA ESPERANZA;CL 72A #19 99;ABUESP01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1000;DROGUERIA CALDAS;CR 20 CL 75;DROCAL03;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1000;DROGUERIA CALDAS;CR 20 CL 75;DROCAL03;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;970;DROGUERIA MILAN;CR 19 #74A 42;DROMIL01;;;28/02/2011;4;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;970;DROGUERIA MILAN;CR 19 #74A 42;DROMIL01;;;07/03/2011;4;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;GRANADELIS # 2;CALLE  57 E # 11 - 05;GRANAD01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;GRANADELIS # 2;CALLE  57 E # 11 - 05;GRANAD01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1010;MERCAPLAZA ALTA SUIZA;DIAGONAL 20 #74 86;MERALT01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;1010;MERCAPLAZA ALTA SUIZA;DIAGONAL 20 #74 86;MERALT01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;990;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;990;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;520;OFICINA PALERMO;CALLE 67 # 23C-16;OFIORI01;;;28/02/2011;1;;;1500;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;520;OFICINA PALERMO;CALLE 67 # 23C-16;OFIORI01;;;07/03/2011;1;;;1500;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;550;PANADERIA LA CALEÐA;CRA. 20 # 52-61 LOCAL 2;PANCAL01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
