EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;03/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;05/03/2011;17;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;16;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;44;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;C;;04/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;44;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;C;;05/03/2011;10;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;44;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;C;;07/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;44;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;C;;08/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;44;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;C;;09/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;03/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;05/03/2011;10;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;11;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;33;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;04/03/2011;15;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;33;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;05/03/2011;15;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;33;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;07/03/2011;15;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;33;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;08/03/2011;15;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;33;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;09/03/2011;15;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;17/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;18/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;19/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;21/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;22/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;23/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;24/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;25/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;26/02/2011;5;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;28/02/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;01/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;02/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;03/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;04/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;05/03/2011;5;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;07/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;08/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;12;SU DROGUERIA N? 3;CR 12 # 47C- 55;SUDROG03;C;;09/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;03/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;04/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;05/03/2011;7;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;07/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;08/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;10;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;09/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;02/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;03/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;04/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;05/03/2011;4;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;07/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;08/03/2011;6;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;29;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;C;;09/03/2011;6;;;525;;NDI;Q HUBO
