EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAING;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAMOV;ADICIONA;RESTANTE;ENTREGO;FECHAPLA
JUAN CARLOS RENDON;ZE053;AGUDELO EDIER JOSE CAFE.TOP-TEC;KILOMETRO 10 VIA MAGDALENA;JOEDIA01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;ARROYAVE VICTOR TIENDA ALTAMIRA;CRA 36 # 63 A 26 TIE. ALTAMIRA;TIEALT01;31/03/2011;9;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;AVICOLA SAN CARLOS  LA ENEA;CRA  34 #  103 - 03 LA ENEA;AVICAR01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;BLANDON LISET JOHANA TIEN LISET;CALLE  62 # 34 - 86;TIELIS01;31/03/2011;3;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;CACHARRERIA MOLGA;CL 65 # 33 35 FATIMA;CACMOL01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;CAFETERIA  BOMBA TEXACO;PUENTE FRENTE  B. LA PLAYITA;EFRAAR01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;CAFETERIA AVENIDA SANTANDER;CR 23 # 55-01;CAFAVE01;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;CASTRO G. GUSTAVO  PANAD. XII;CRA  37 # 66 - 07 ESQUINA;PANADE01;31/03/2011;6;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;COMERCIALIZADORA MERCALDAS # 1PALMA;CRA 23 # 58-03;COMMER01;31/03/2011;15;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;COMERCIALIZADORA MERCALDAS # 2 LA C;CRA 23 # 47-30;COMMER02;31/03/2011;2;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;COMERCIALIZADORA RUDA;LA FLORIDA;COMRUD01;31/03/2011;4;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;CONFAMILIARES SAN MARCEL;CR 30 #93 25;CONCOM01;31/03/2011;10;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;DROGAS LA PRINCIPAL;CL 68 #39-42;DROPRI01;31/03/2011;4;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;DROGUERIA CASA ROJA;CRA 32 # 104 A 15;DROGCA01;31/03/2011;12;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;DROGUERIA REINEL;CR 35 # 102 A - 72;DROREI01;31/03/2011;12;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;FRANCO PATRICIA-PAPE PRAXIS;CR 25A #62 36;PAPPRA01;31/03/2011;3;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;GONZALES A. GUILLERMO TIE EL NEGRO;CALLE 65 B # 41 -05;GUIGON01;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;GOTITAS DE SABOR;CL 105C #30A 39 ENEA PART  ALT;GOTSAB01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;31/03/2011;35;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;JOSE A. ARTEAGA  TIENDA OSCAR;CRA. 41 # 72 - 172;JOARAR01;31/03/2011;3;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MECATIADERO MARY;B. LOS MOLINOS  CASA # 12;MECAMA01;31/03/2011;3;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;31/03/2011;30;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA GOMEZ;CR 35 # 99 A - 05;MISGOM02;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA LA 40;CL 67A  # 40-02 MALABAR;TIE4001;31/03/2011;6;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
