EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAING;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAMOV;ADICIONA;RESTANTE;ENTREGO;FECHAPLA
PATRICIA JURADO MARTINEZ;ZE051;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;2;1;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;DROG.DROGAS SUPERSERVICIO;CR 12  # 47 L 03 CARIBE;DRODRO01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;DROGUERIA LA ESTACION;CRA 23 # 40 -110;DROEST01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;DUQUE H.ROGELIO DRO.PERALONSO;CAR 11C 46 18  DROPERALONSO;DROPER02;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;OROZCO GUILLERMO COMUNICACION VO-IP;CALLE 10  N� 1 C 100 VILLAPIL;OROGUI01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;ORTEGON GUILLERMO FRUTAS FRESCAS;CALLE 15  N�  15 - 16;FRUMON01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;SU DROGUERIA N� 3;CL 47G N� 12B 01 CARIBE;SUDROG03;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;SUDROGUERIA;CRA. 20 # 50-74;SUDROG01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;SUPERMERCADO VILLAPILAR;CL 10 N� 2C  15;SUPVIL02;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;TIENDA MIXTA LA 15;CRA   26  # 15 - 02;TIEMIQ01;31/03/2011;1;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;0;0;31/03/2011
PATRICIA JURADO MARTINEZ;ZE051;TRUJILLO  ARANGO JOSE J.MISC ANGIE;CRA. 22 # 48 B 60  ESQUINA;JOSJES01;31/03/2011;2;0;0;0;0;0;0;0;N. ESTADIO;8/4/2011;0;8;1;31/03/2011
