EMPLEADO;ZONARUTA;NOMZONA;ORDCOB;RAZONSOC;DIRECCION;CODIGOCLI;fechainac;entreayer;FECHAING;ENTREGAS;ciudadedi;zondomingo;estado;nomciudad;publicacio;nompu;modalidad;tipo;marca;fechapla;direccion2 
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;COMERCIALIZADORA MERCALDAS PALMAS;CRA. 23 # 58-01;COMERC01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;17;DROGUERIA REINEL;CL 103 #35 03;DROREI01;;;;4;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;;;;5;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;MISCELANEA DOÑA INES;KRA. 35  Nº 100-65;MISINE01;;;;5;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;7;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;2;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;27;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;DROG.DROGAS SUPERSERVICIO;CR 12  # 47 L 03 CARIBE;DRODRO01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;DROGUERIA LA ESTACION;CRA 23 # 40 -110;DROEST01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;DUQUE H.ROGELIO DRO.PERALONSO;CAR 11C 46 18  DROPERALONSO;DROPER02;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;OROZCO GUILLERMO COMUNICACION VO-IP;CALLE 10  Nº 1 C 100 VILLAPIL;OROGUI01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;ORTEGON GUILLERMO FRUTAS FRESCAS;CALLE 15  Nº  15 - 16;FRUMON01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;5;SU DROGUERIA Nº 3;CL 47G Nº 12B 01 CARIBE;SUDROG03;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;6;SUDROGUERIA;CRA. 20 # 50-74;SUDROG01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;SUPERMERCADO VILLAPILAR;CL 10 Nº 2C  15;SUPVIL02;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;TIENDA MIXTA LA 15;CRA   26  # 15 - 02;TIEMIQ01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
PATRICIA JURADO MARTINEZ;ZE051;ZONA DE ENTREGA;;TRUJILLO  ARANGO JOSE J.MISC ANGIE;CRA. 22 # 48 B 60  ESQUINA;JOSJES01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;ALARCON GAVIRIA W.JOSE T.CHIQUITINA;CALLE 48 Nº 25-14 T.CHIQUITINA;TIECHI01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;DROGUERIA SANTA INES  # 3;AVENIDA PARALELA Nº 47 - 10;DROSAN06;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;FRUTAS Y VERDURAS;CR 23 # 45 62;FRUVER01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;GALLEGO  BLANCA NUBIA;CLL 39  - 24-76  DULCES;BLAMAR01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;13;LA CASA DEL PAN;CRA. 24 # 39-26;CASPAN01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;6;MISCELANEA LA COMPLETA;CL 38 Nº 32A 38 VILLACARMENZA;MISCOM01;;;;3;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;PANADERIA ALEXA;CRA. 34 # 48H-13;PANALE01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;PANADERIA POPEYE;CRA. 15  CALLE 4 A ESQUINA;PANAPO01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;RAPITIENDA MISCELANEA LA RECTA;CALLE 12 # 30-50;RAPEXI01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;REINALDO LLANO ESCOBAR DROG. SANTAN;CRA. 25 # 33 A 02  DROG.SANTAN;DROSAN02;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;SERGIO GIRALDO TIENDA LA PLAYITA;CRA 27 # 33- 03;TIEPLA01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;TIENDA LA CANASTA;CALLE 29  Nº 27 - 61;TILACA01;;;;4;;;;;NUE;N. ESTADIO;;;;31/03/2011;
URIEL GIRALDO;ZE020;ZONA ENTREGA 20;;CASETA EL TRAILER;CALLE 3 A Nº  18-28 LA PRADERA;CASTRA01;;;;3;;;;;NUE;N. ESTADIO;;;;31/03/2011;
URIEL GIRALDO;ZE020;ZONA ENTREGA 20;;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;;;;5;;;;;NUE;N. ESTADIO;;;;31/03/2011;
URIEL GIRALDO;ZE020;ZONA ENTREGA 20;;RAPITIENDA EL CRUCERITO;CRA 5 N°  12-02;RAPCRU01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
URIEL GIRALDO;ZE020;ZONA ENTREGA 20;;VARIEDADES CHIPI CHAPE;CRA.  5   Nº 5-50 VILLAMARIA;VARCHI01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;ABUNDANCIA LA ESPERANZA;CL 72A #19 99;ABUESP01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;DROGUERIA CALDAS;CR 20 CL 75;DROCAL03;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;DROGUERIA MILAN;CR 19 #74A 42;DROMIL01;;;;4;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;10;DROGUERIA VILLAHERMOSA            *;CR 11 #51E-16;DROVIL01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;GRANADELIS # 2;CALLE  57 E # 11 - 05;GRANAD01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;MERCAPLAZA ALTA SUIZA;DIAGONAL 20 #74 86;MERALT01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;OFICINA PALERMO;CALLE 67 # 23C-16;OFIORI01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;7;PANADERIA LA CALEÑA;CRA. 20 # 52-61 LOCAL 2;PANCAL01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;PANADERIA LA CAROLA;CRA 11 # 55 - 06;PANACA01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;26;PANADERIA LA RIQUISIMA;CL 67 #11 18;PANRIQ01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;PAPELERIA LA RAMBLA;CRA. 21 # 62-14;PAPRAM01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;RAPITIENDA EL FILO;CL 67 #9A 17;RAPFIL01;;;;1;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;SERGIO ANTONIO JIMENEZ;CALLE 65 B  Nº 10 - 136;HERJIA01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;T.M.PAPELERIA MISCELANEA;CALLE 77 Nº 20 - 60;TMPAMI01;;;;2;;;;;NUE;N. ESTADIO;;;;31/03/2011;
