EMPLEADO;ZONARUTA;NOMZONA;ORDCOB;RAZONSOC;DIRECCION;CODIGOCLI;fechainac;entreayer;FECHAING;ENTREGAS;ciudadedi;zondomingo;estado;nomciudad;publicacio;nompu;modalidad;tipo;marca;fechapla;direccion2 
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;AUTOSERVICIO LOS HERMANOS;CR 16B # 51B-150;AUTHER01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;COPY CALDAS;CL 26 # 21-11;COPCAL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGAS SUPERSERVICIO;CR 12 #47L 03;DRODRO01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;DROGUERIA GRAN ESTACION;CR 23 # 40-110;DROGRA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GONZALEZ MARIN IVAN. HOME MARKET;CL 4 NUCLEO 3 LOCAL 7;IVAGON01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GRAJALES LEON RUBEN DARIO;CR 23 #14 65;DROOLA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MUNDO EDITORES;AV 19 # 31-17;MUNEDI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;RAMIREZ O. GUSTAVO DE JESUS;CL 46 #12-10;SUPMER02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUDROGUERIA;CR 20 #50 74;SUDROG01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUPERMERCADO RANCHO ROJO;CL 12 #7B 76;SUPRAN01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUPERMERCADO VILLAPILAR;CL 10 Nº 2C  15;SUPVIL02;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;SUPERMERCADOS DEL CENTRO S.A.S;CALLE 9B #1F 80;SUPCEN02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA INESITA;CL 30 #16 64;TIEINE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA Y CAFETERIA EL PAISAJE;CR 26 # 15-05;TIEPAI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;CACHARRERIA LA MISCELANEA JOSE ARIS;CL 9 # 5-60;CACMIS01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;CASETA DE PRENSA;CALLE 5A. # 3-55;CASPRE01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
