EMPLEADO;ZONARUTA;NOMZONA;ORDCOB;RAZONSOC;DIRECCION;CODIGOCLI;fechainac;entreayer;FECHAING;ENTREGAS;ciudadedi;zondomingo;estado;nomciudad;publicacio;nompu;modalidad;tipo;marca;fechapla;direccion2 
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54 (CASA);AUTALT01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO EL TRIGAL;CL 10 #9 40 CHIPRE;AUTTRI01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;;;;14;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;CAICEDO JUAN ERNESTO COPICALDAS;CALLE 26 # 21-11;COPYCA01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;COMUNICACIONES VO-IP;CL 10 # 1C-100;RAP20001;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGAS SUPERSERVICIO;CR 12 #47L 03 CARIBE;DRODRO01;;;;12;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;DROGUERIA JACOBO;CRA. 12 B # 45 G 22 DROG.JACOB;DROJAC01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA LA 18;CL 27 # 17-59 ESQUINA;DRO1801;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;DROGUERIA LA ESTACION;CRA 23 # 40-110;DROGES01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA OLAYA;CR 23 #14 65;DROOLA01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;FRUTAS FRESCAS MONROY;CR 15 # 15-16;FRUFRE01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;GIRALDO GOMEZ OFELIA TIEN OFE;CRA 16 A #  51 B 101  TIE OFE;TIEOFO01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;GIRALDO JUAN CARLOS RAP PRIMAVERA;CALLE 49 #  19 -110;RAPPRI01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GONZALEZ MARIN IVAN. HOME MARKET;CL 4 NUCLEO 3 LOCAL 7;IVAGON01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GUSTAVO DE JESUS RAMIREZ- MERCATODO;CL 46 #12-10;SUPMER02;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
